Fecha,Hora,Lugar,Observador,Barrio,Decada,Sexo,Conocimiento,ComoConoce,ConoceZP,AsistCiclovia,ComoParticip,ConQuien,CirculaSinCoche,FrecSinCoche,Acuerdo,FrecFuturo,Horario
42384,14h00-17h06,San Sebastian,C,Rosales,90s,Mujer,Si,Redes Sociales,Si,A veces,A pie,Amigos,A pie,Cada día,Acuerdo,NA,Mañana
42387,15h00 -17h00,Loja,H,La Paz,80s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Familia,A pie,NA,Acuerdo,NA,Mañana
42386,15h00 -17h00,Loja,H,Las Pitas,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Sólo,A pie,NA,Acuerdo,NA,Mañana
42386,NA,Parque Bolivar,G,Las Pitas,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Familia,A pie,NA,Total Acuerdo,NA,Mañana
NA,NA,NA,F,Centro,90s,Hombre,Si,Redes Sociales,No,A veces,Bicicleta,Sólo,A pie,NA,Total Acuerdo,Mensual,Mañana
42019,15h00 -17h00,Loja,I,La Paz,90s,Hombre,Si,Redes Sociales,Si,A veces,Bicicleta,Amigos,A pie,NA,Ni uno ni otro,Mensual,Mañana
17/01/16,11h00-13h10,Parque Bolivar,E,Cdl. 8 de diciembre,90s,Mujer,Si,Redes Sociales,NA,A veces,Bicicleta,Familia,No Salgo,NA,Total Acuerdo,NA,Tarde
17/01/16,11h00-13h11,Parque Bolivar,E,Cdl. 8 de diciembre,80s,Hombre,Si,Redes Sociales,No,No,A pie,Familia,A pie,Cada día,Total Acuerdo,NA,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,Sauces Norte,80s,Hombre,Si,Redes Sociales,No,No,NA,NA,A pie,Cada día,Acuerdo,Nunca,Tarde
17/01/16,11h00-13h04,Parque Bolivar,E,El electrisista,90s,Hombre,Si,Redes Sociales,No,No,Otros,Sólo,A pie,Cada día,Acuerdo,De vez en cuando,Noche
42386,12h00-13h00,Punzara,A,El Valle,90s,Hombre,Si,Redes Sociales,No,No,NA,NA,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
42386,NA,Parque Bolivar,G,Iv Centenario,90s,Hombre,Si,Redes Sociales,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
