"","Observador","Decada","Sexo","Conocimiento","CirculaSinCoche","Frecuencia","DeAcuerdo","ConQFrecuencia","nuevoDecada"
"161","PC","90s","Hombre","No","A pie","diario",1,"nunca","90s"
"162","PC","90s","Hombre","No","Patineta","semanal",4,"semanal","90s"
"163","PC","90s","Mujer","No","A pie","semanal",4,"de vez en cuando","90s"
"164","PC","90s","Mujer","No","A pie","de vez en cuando",5,"semanal","90s"
"165","PC","90s","Hombre","No","A pie","mensual",4,"de vez en cuando","90s"
"166","PC","90s","Mujer","No","A pie","semanal",2,"de vez en cuando","90s"
"167","AC","70s","Mujer","Si","Bicicleta ","diario",5,"semanal","70s"
"168","AC","80s","Hombre","Si","A pie","diario",5,"mensual","80s"
"169","AC","90s","Hombre","Si","A pie","semanal",1,"de vez en cuando","90s"
"170","AC","90s","Mujer","Si","No Salgo","",5,"semanal","90s"
"171","DC","80s","Mujer","Si","A pie","diario",5,"de vez en cuando","80s"
"172","DC","90s","Hombre","Si","Bicicleta y a pie","diario",3,"de vez en cuando","90s"
"173","DC","90s","Hombre","Si","Bicicleta ","de vez en cuando",3,"semanal","90s"
"174","DC","90s","Hombre","Si","Bicicleta y a pie","mensual",1,"de vez en cuando","90s"
"175","AM","80s","Hombre","Si","A pie","diario",5,"de vez en cuando","80s"
"176","AM","90s","Hombre","Si","A pie","diario",5,"de vez en cuando","90s"
"177","AM","90s","Mujer","Si","A pie","diario",5,"mensual","90s"
"178","AM","90s","Hombre","Si","A pie","diario",5,"semanal","90s"
"179","AM","90s","Mujer","Si","A pie","diario",5,"semanal","90s"
"180","AM","90s","Hombre","Si","A pie","diario",5,"semanal","90s"
"181","AM","90s","Mujer","Si","A pie","diario",5,"de vez en cuando","90s"
"182","AM","90s","Mujer","Si","A pie","diario",5,"de vez en cuando","90s"
"183","AM","90s","Hombre","Si","A pie","diario",5,"mensual","90s"
"184","AM","90s","Mujer","Si","A pie","o",5,"semanal","90s"
"185","EO","90s","Mujer","Si","Bicicleta ","diario",4,"semanal","90s"
"186","EO","90s","Hombre","Si","A pie","diario",4,"semanal","90s"
"187","EO","80s","Mujer","Si","A pie","semanal",4,"semanal","80s"
"188","EO","90s","Hombre","Si","Bicicleta ","semanal",4,"semanal","90s"
"189","EO","90s","Mujer","Si","A pie","semanal",4,"semanal","90s"
"190","EO","90s","Hombre","Si","A pie","semanal",4,"semanal","90s"
"191","EO","80s","Hombre","Si","Bicicleta ","de vez en cuando",4,"semanal","80s"
"192","EO","90s","Hombre","Si","Bicicleta ","mensual",5,"mensual","90s"
"193","JR","00s","Hombre","Si","A pie","diario",5,"semanal","00s"
"194","JR","80s","Mujer","Si","A pie","semanal",5,"semanal","80s"
"195","JA","80s","Mujer","Si","A pie","diario",5,"semanal","80s"
"196","JQ","70s","Mujer","Si","A pie","diario",5,"semanal","70s"
"197","JQ","90s","Hombre","Si","A pie","diario",5,"semanal","90s"
"198","JQ","90s","Hombre","Si","Bicicleta ","diario",5,"semanal","90s"
"199","JQ","90s","Hombre","Si","A pie","diario",5,"semanal","90s"
"200","JQ","90s","Mujer","Si","A pie","diario",5,"semanal","90s"
"201","JQ","90s","Mujer","Si","A pie","diario",5,"semanal","90s"
"202","JQ","70s","Hombre","Si","A pie","de vez en cuando",4,"mensual","70s"
"203","JQ","80s","Hombre","Si","A pie","semanal",5,"de vez en cuando","80s"
"204","JQ","90s","Hombre","Si","A pie","semanal",5,"mensual","90s"
"205","JL","90s","Hombre","Si","A pie","diario",5,"mensual","90s"
"206","JC","90s","Mujer","Si","Bicicleta ","diario",4,"semanal","90s"
"207","JC","90s","Mujer","Si","Bicicleta ","diario",4,"mensual","90s"
"208","JC","90s","Mujer","Si","Bicicleta ","semanal",5,"mensual","90s"
"209","JC","90s","Hombre","Si","A pie","semanal",3,"mensual","90s"
"210","LC","60s","Mujer","Si","A pie","diario",5,"mensual","60s"
"211","LC","60s","Mujer","Si","A pie","diario",4,"mensual","60s"
"212","LC","70s","Mujer","Si","A pie","diario",4,"semanal","70s"
"213","LC","80s","Mujer","Si","A pie","diario",5,"semanal","80s"
"214","LC","90s","Mujer","Si","A pie","diario",5,"semanal","90s"
"215","LC","90s","Hombre","Si","A pie","diario",5,"mensual","90s"
"216","LC","90s","Hombre","Si","A pie","diario",5,"mensual","90s"
"217","LC","90s","Mujer","Si","A pie","diario",4,"semanal","90s"
"218","PC","80s","Hombre","Si","Bicicleta ","de vez en cuando",5,"de vez en cuando","80s"
"219","AC","80s","Hombre","Si","A pie","diario",5,"semanal","80s"
"220","AC","90s","Hombre","Si","A pie","diario",4,"de vez en cuando","90s"
"221","AC","90s","Mujer","Si","A pie","diario",1,"nunca","90s"
"222","AC","90s","Mujer","Si","A pie","diario",2,"de vez en cuando","90s"
"223","AC","","","Si","A pie","diario",1,"mensual",NA
"224","AC","60s","Hombre","Si","A pie","semanal",2,"mensual","60s"
"225","AC","80s","Mujer","Si","A pie","semanal",5,"semanal","80s"
"226","AC","90s","Mujer","Si","A pie","semanal",4,"de vez en cuando","90s"
"227","DC","80s","Hombre","Si","A pie","diario",5,"semanal","80s"
"228","DC","90s","Hombre","Si","A pie","diario",5,"de vez en cuando","90s"
"229","DC","90s","Hombre","Si","A pie","diario",5,"de vez en cuando","90s"
"230","DC","90s","Mujer","Si","A pie","diario",4,"de vez en cuando","90s"
"231","DC","90s","Hombre","Si","A pie","semanal",4,"de vez en cuando","90s"
"232","DC","90s","Mujer","Si","A pie","semanal",4,"de vez en cuando","90s"
"233","DC","80s","Hombre","Si","A pie","de vez en cuando",5,"semanal","80s"
"234","DC","90s","Hombre","Si","A pie","de vez en cuando",5,"semanal","90s"
"235","AM","80s","Hombre","Si","A pie","diario",2,"nunca","80s"
"236","AM","90s","Hombre","Si","A pie","diario",5,"semanal","90s"
"237","AM","90s","Hombre","Si","A pie","diario",4,"de vez en cuando","90s"
"238","AM","90s","Hombre","Si","A pie","diario",3,"de vez en cuando","90s"
"239","AM","90s","Hombre","Si","A pie","diario",5,"de vez en cuando","90s"
"240","AM","90s","Hombre","Si","A pie","diario",5,"semanal","90s"
"241","AM","90s","Mujer","Si","A pie","diario",1,"nunca","90s"
"242","EO","90s","Hombre","Si","A pie","diario",4,"de vez en cuando","90s"
