Observador,Decada,Sexo,ConoceCiclovia,ComoConoce,ConoceZP,AsistCiclovia,ComoParticip,ConQuien,CirculaSinCoche,Frecuencia,DeAcuerdo,ConQFrecuencia,Horario
AC,90s,Hombre,Si,Prensa ,Si,A veces,A pie,Familia ,A pie,semanal,1,de vez en cuando,tarde
AC,90s,Mujer,Si,Redes Sociales,,A veces,Bicicleta,Familia ,No Salgo,,5,semanal,tarde
DC,80s,Mujer,Si,Prensa ,No,A veces,A pie,solo,A pie,diario,5,de vez en cuando,tarde
DC,90s,Hombre,Si,Prensa ,No,A veces,Patineta,solo,Bicicleta y a pie,diario,3,de vez en cuando,tarde
DC,90s,Hombre,Si,Participante,No,A veces,Bicicleta,Amigos,Bicicleta ,de vez en cuando,3,semanal,mañana
DC,90s,Hombre,Si,Prensa ,No,A veces,Bicicleta,solo,Bicicleta y a pie,mensual,1,de vez en cuando,tarde
AM,80s,Hombre,Si,Participante,No,A veces,Bicicleta,Familia ,A pie,diario,5,de vez en cuando,mañana
AM,90s,Hombre,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,diario,5,de vez en cuando,mañana
AM,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,diario,5,mensual,tarde
AM,90s,Hombre,Si,Prensa ,No,A veces,Bicicleta,Amigos,A pie,diario,5,semanal,mañana
AM,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,diario,5,semanal,mañana
AM,90s,Hombre,Si,Participante,No,A veces,Bicicleta,Amigos,A pie,diario,5,semanal,mañana
AM,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,diario,5,de vez en cuando,mañana
AM,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,diario,5,de vez en cuando,mañana
AM,90s,Hombre,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,diario,5,mensual,mañana
AM,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Familia ,A pie,o,5,semanal,mañana
EO,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,solo,Bicicleta ,diario,4,semanal,noche
EO,90s,Hombre,Si,Municipio,No,A veces,A pie,solo,A pie,diario,4,semanal,mañana
EO,80s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Familia ,A pie,semanal,4,semanal,mañana
EO,90s,Hombre,Si,Prensa ,No,A veces,Bicicleta,Familia ,Bicicleta ,semanal,4,semanal,mañana
EO,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,solo,A pie,semanal,4,semanal,mañana
EO,90s,Hombre,Si,Municipio,No,A veces,Bicicleta,solo,A pie,semanal,4,semanal,mañana
EO,80s,Hombre,Si,Participante,No,A veces,Bicicleta,Amigos,Bicicleta ,de vez en cuando,4,semanal,mañana
EO,90s,Hombre,Si,Municipio,No,A veces,Bicicleta,Familia ,Bicicleta ,mensual,5,mensual,mañana
JR,00s,Hombre,Si,Redes Sociales,No,A veces,Bicicleta,solo,A pie,diario,5,semanal,mañana
JR,80s,Mujer,Si,Municipio,Si,A veces,Bicicleta,Amigos,A pie,semanal,5,semanal,noche
JA,80s,Mujer,Si,Participante,Si,A veces,Bicicleta,Familia ,A pie,diario,5,semanal,mañana
JQ,70s,Mujer,Si,Prensa ,Si,A veces,A pie,Familia ,A pie,diario,5,semanal,noche
JQ,90s,Hombre,Si,Redes Sociales,Si,A veces,Bicicleta,Amigos,A pie,diario,5,semanal,mañana
JQ,90s,Hombre,Si,Redes Sociales,No,A veces,A pie,Amigos,Bicicleta ,diario,5,semanal,mañana
JQ,90s,Hombre,Si,Redes Sociales,No,A veces,Bicicleta,solo,A pie,diario,5,semanal,noche
JQ,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,Amigos,A pie,diario,5,semanal,mañana
JQ,90s,Mujer,Si,Redes Sociales,Si,A veces,Bicicleta,Amigos,A pie,diario,5,semanal,noche
JQ,70s,Hombre,Si,Municipio,No,A veces,A pie,solo,A pie,de vez en cuando,4,mensual,mañana
JQ,80s,Hombre,Si,Prensa ,No,A veces,A pie,solo,A pie,semanal,5,de vez en cuando,mañana
JQ,90s,Hombre,Si,Redes Sociales,No,A veces,Bicicleta,solo,A pie,semanal,5,mensual,mañana
JL,90s,Hombre,Si,Redes Sociales,Si,A veces,Bicicleta,solo,A pie,diario,5,mensual,noche
JC,90s,Mujer,Si,Municipio,No,A veces,Bicicleta,solo,Bicicleta ,diario,4,semanal,mañana
JC,90s,Mujer,Si,Redes Sociales,No,A veces,Bicicleta,solo,Bicicleta ,diario,4,mensual,tarde
JC,90s,Mujer,Si,Prensa ,Si,A veces,Bicicleta,solo,Bicicleta ,semanal,5,mensual,tarde
JC,90s,Hombre,Si,Redes Sociales,Si,A veces,Bicicleta,Amigos,A pie,semanal,3,mensual,mañana
LC,60s,Mujer,Si,Prensa ,Si,A veces,A pie,Amigos,A pie,diario,5,mensual,tarde
LC,60s,Mujer,Si,Participante,Si,A veces,A pie,Amigos,A pie,diario,4,mensual,noche
LC,70s,Mujer,Si,Redes Sociales,Si,A veces,A pie,Familia ,A pie,diario,4,semanal,tarde
LC,80s,Mujer,Si,Prensa ,Si,A veces,A pie,Familia ,A pie,diario,5,semanal,mañana
LC,90s,Mujer,Si,Redes Sociales,Si,A veces,A pie,Familia ,A pie,diario,5,semanal,mañana
LC,90s,Hombre,Si,Prensa ,Si,A veces,A pie,Amigos,A pie,diario,5,mensual,noche
LC,90s,Hombre,Si,Prensa ,Si,A veces,A pie,Amigos,A pie,diario,5,mensual,mañana
LC,90s,Mujer,Si,Redes Sociales,Si,A veces,A pie,Amigos,A pie,diario,4,semanal,mañana
PC,80s,Hombre,Si,Municipio,Si,A veces,Bicicleta,Amigos,Bicicleta ,de vez en cuando,5,de vez en cuando,noche
AC,80s,Hombre,Si,Redes Sociales,No,No,A pie,Familia ,A pie,diario,5,semanal,mañana
AC,90s,Hombre,Si,Redes Sociales,No,No,Otros,solo,A pie,diario,4,de vez en cuando,noche
AC,90s,Mujer,Si,Via cerrda,No,No,No,solo,A pie,diario,1,nunca,tarde
AC,90s,Mujer,Si,Prensa ,No,No,A pie,solo,A pie,diario,2,de vez en cuando,tarde
AC,,,Si,Redes Sociales,Si,No,,,A pie,diario,1,mensual,tarde
AC,60s,Hombre,Si,Municipio,No,No,A pie,Familia ,A pie,semanal,2,mensual,tarde
AC,80s,Mujer,Si,Ciclo Viajeros,No,No,,,A pie,semanal,5,semanal,tarde
AC,90s,Mujer,Si,Redes Sociales,No,No,A pie,Familia ,A pie,semanal,4,de vez en cuando,tarde
DC,80s,Hombre,Si,Prensa ,No,No,,,A pie,diario,5,semanal,tarde
DC,90s,Hombre,Si,Redes Sociales,No,No,,,A pie,diario,5,de vez en cuando,mañana
DC,90s,Hombre,Si,Prensa ,Si,No,,,A pie,diario,5,de vez en cuando,mañana
DC,90s,Mujer,Si,Participante,Si,No,,,A pie,diario,4,de vez en cuando,mañana
DC,90s,Hombre,Si,Redes Sociales,No,No,,,A pie,semanal,4,de vez en cuando,mañana
DC,90s,Mujer,Si,Municipio,No,No,,,A pie,semanal,4,de vez en cuando,mañana
DC,80s,Hombre,Si,Prensa ,No,No,,,A pie,de vez en cuando,5,semanal,mañana
DC,90s,Hombre,Si,Participante,No,No,,,A pie,de vez en cuando,5,semanal,noche
AM,80s,Hombre,Si,Municipio,No,No,,,A pie,diario,2,nunca,noche
AM,90s,Hombre,Si,Redes Sociales,No,No,,,A pie,diario,5,semanal,mañana
AM,90s,Hombre,Si,Redes Sociales,No,No,,,A pie,diario,4,de vez en cuando,mañana
AM,90s,Hombre,Si,Redes Sociales,No,No,,,A pie,diario,3,de vez en cuando,mañana
AM,90s,Hombre,Si,Redes Sociales,No,No,,,A pie,diario,5,de vez en cuando,mañana
AM,90s,Hombre,Si,Prensa ,No,No,,,A pie,diario,5,semanal,mañana
AM,90s,Mujer,Si,Redes Sociales,No,No,,,A pie,diario,1,nunca,noche
EO,90s,Hombre,Si,Municipio,No,No,,,A pie,diario,4,de vez en cuando,noche
EO,90s,Hombre,Si,Municipio,No,No,,,A pie,diario,3,de vez en cuando,tarde
EO,90s,Hombre,Si,Municipio,No,No,,,A pie,semanal,3,mensual,mañana
EO,90s,Hombre,Si,Municipio,No,No,,,A pie,mensual,3,mensual,mañana
JR,80s,Mujer,Si,Prensa ,No,No,,,A pie,diario,5,nunca,tarde
JR,80s,Mujer,Si,Prensa ,Si,No,,,A pie,diario,5,de vez en cuando,mañana
JR,70s,Hombre,Si,Fisicamente ,Si,No,,,A pie,semanal,1,semanal,mañana
JR,70s,Mujer,Si,Viendo ,No,No,,,A pie,semanal,5,semanal,tarde
JR,70s,Mujer,Si,Prensa ,No,No,,,A pie,semanal,3,mensual,tarde
JR,90s,Mujer,Si,Prensa ,No,No,,,,,5,mensual,noche
JA,60s,Hombre,Si,Municipio,No,No,,,A pie,diario,3,nunca,mañana
JA,60s,Hombre,Si,Municipio,Si,No,,,A pie,diario,5,semanal,mañana
JA,60s,Hombre,Si,Taxista,No,No,,,A pie,diario,1,nunca,
JA,60s,Hombre,Si,Cortan el Paso,Si,No,,,A pie,diario,1,nunca,
JA,70s,Hombre,Si,Por un Hijo,No,No,,,A pie,diario,4,nunca,mañana
JA,80s,Mujer,Si,Prensa ,Si,No,,,A pie,diario,4,de vez en cuando,tarde
JA,80s,Hombre,Si,Redes Sociales,No,No,,,A pie,diario,4,nunca,tarde
JA,90s,Hombre,Si,Redes Sociales,Si,No,,,A pie,diario,3,de vez en cuando,tarde
JA,90s,Mujer,Si,Redes Sociales,Si,No,,,A pie,diario,3,de vez en cuando,tarde
JA,90s,Hombre,Si,Veia,No,No,,,A pie,diario,4,semanal,tarde
JA,90s,Mujer,Si,Redes Sociales,Si,No,,,Bus,diario,5,semanal,mañana
JA,90s,Hombre,Si,Municipio,Si,No,,,A pie,diario,5,de vez en cuando,mañana
JA,90s,Mujer,Si,Municipio,Si,No,,,Bus,diario,4,de vez en cuando,mañana
